id,name,price,pages,author_id,publisher_id,content,img,category_id,dayopt,language,description,priority,bookActive,isbn,ratedusers,rating,publishdate,author,publisher,cat,catmodel,taglink_id,tag_id_x,tag_id_y,tag
38,The Adventures of Sherlock Holmes,0.0,312,17,18,media/epubs/10.epub,media/bookimages/10.jpeg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;"">“There is nothing more deceptive than an obvious fact.” He has no knowledge of literature, philosophy, or astronomy. But his chemistry is strong, anatomy is explicit, remembers every horror committed in detail, and is completely aware of the British Law. Meet Sherlock Holmes, the ruthless and self-disciplined detective who takes up every case as an intellectual challenge. He not only solves mysteries and discovers murderers, thieves, and criminals, but also identifies the social injustices and provides a new and just approach to remedy them. A collection of twelve short stories, many of which were Doyle’s favorite, The Adventures of Sherlock Holmes was well received on its publication. Listed with the Guinness World Records as the ‘most portrayed movie character’ in history, Sherlock Holmes has been adapted numerous times and continues to remain a timeless detective.</span><br></p>",7,bookActive,,0,0.0,1999-03-01,Arthur Conan Doyle,None,"Fiction, Literature & Novels",3month,"[4, 21, 22]","[4, 21, 22]","[4, 21, 22]","['Language and Literature', 'Holmes, Sherlock', 'Detective and mystery stories']"
39,Heart of Darkness ,0.0,96,18,18,media/epubs/11.epub,media/bookimages/11.jpeg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p style=""margin-bottom: 14px; padding: 0px; color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">A European trading concern hires Marlow to pilot a boat up the Congo River in search of Kurtz--a first-class ivory agent and the manager of the company's highly profitable Inner Station--who is believed to be on his deathbed. With a handful of pilgrims as his passengers and a crew of cannibals, Marlow steams his way into the African interior. The terrifying discovery he makes at the end of his journey and the horrors he witnesses along the way have thrilled and disturbed readers for more than a century.</p><p style=""margin-top: -4px; margin-bottom: 0px; padding: 0px; color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">A searing indictment of imperialism and a haunting exposÉ of mankind's savage nature, Heart of Darkness is Joseph Conrad's masterpiece.</p>",7,bookActive,,0,0.0,2006-01-09,Joseph Conrad,None,"Fiction, Literature & Novels",3month,"[4, 15]","[4, 15]","[4, 15]","['Language and Literature', 'Psychological fiction']"
40,The Importance of Being Earnest: A Trivial Comedy for Serious People,0.0,112,19,18,media/epubs/12.epub,media/bookimages/12.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(51, 51, 51); font-family: verdana, arial, helvetica, sans-serif; font-size: small;"">The young Robert Louis Stevenson suffered from repeated nightmares of living a double life, in which by day he worked as a respectable doctor and by night he roamed the back alleys of old-town Edinburgh. In three days of furious writing, he produced a story about his dream existence. His wife found it too gruesome, so he promptly burned the manuscript. In another three days, he wrote it again. ""The Strange Case of Dr. Jekyll and Mr. Hyde"" was published as a ""shilling shocker"" in 1886, and became an instant classic. In the first six months, 40,000 copies were sold. Queen Victoria read it. Sermons and editorials were written about it. When Stevenson and his family visited America a year later, they were mobbed by reporters at the dock in New York City. Compulsively readable from its opening pages,&nbsp;</span><i style=""color: rgb(51, 51, 51); font-family: verdana, arial, helvetica, sans-serif; font-size: small;"">Dr. Jekyll and Mr. Hyde</i><span style=""color: rgb(51, 51, 51); font-family: verdana, arial, helvetica, sans-serif; font-size: small;"">&nbsp;are still one of the best tales ever written about the divided self.</span><br></p>",6,bookActive,,0,0.0,1997-03-01,Oscar Wilde,None,"Fiction, Literature & Novels",3month,"[4, 24, 25]","[4, 24, 25]","[4, 24, 25]","['Language and Literature', 'Comedies', 'Drama']"
44,The Picture of Dorian Gray,0.0,184,19,18,media/epubs/16.epub,media/bookimages/16.jpeg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;"">Oscar Wilde's only novel The Picture of Dorian Gray was published in Lippincott's Monthly Magazine in 1890 and provoked a storm of protest from the Victorian society. It is a tale spawned from the leprous literature of the French decadents, a poisoned book, the atmosphere of which is heavy with mephitic odours of moral and spiritual putrefaction, wrote the critic from the Daily Chronicle. Oscar Wilde wrote a preface, which appeared separately in the Fortnightly Review in March 1891. It contains the famous passage: Books are well written or badly written. That is all Complete and unabridged text with an introduction.</span><br></p>",6,bookActive,,0,0.0,1994-10-01,Oscar Wilde,None,"Fiction, Literature & Novels",3month,"[4, 32, 33, 34]","[4, 32, 33, 34]","[4, 32, 33, 34]","['Language and Literature', 'Supernatural', 'Portraits', 'Fiction']"
41,A Modest Proposal ,0.0,28,20,18,media/epubs/13.epub,media/bookimages/13.jpeg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p style=""margin-bottom: 14px; padding: 0px; color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">A Modest Proposal for Preventing the Children of Poor People in Ireland From Being a Burden to Their Parents or Country, and for Making Them Beneficial to the Public, commonly referred to as A Modest Proposal, is a Juvenalian satirical essay written and published anonymously by Jonathan Swift in 1729. Swift suggests in his essay that the impoverished Irish might ease their economic troubles by selling children as food for rich gentlemen and ladies. By doing this he mocks the authority of the British officials.</p><p style=""margin-top: -4px; margin-bottom: 0px; padding: 0px; color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">A Modest Proposal is included in many literature programs as an example of early modern western satire. It also serves as an exceptional introduction to the concept and use of argumentative language, lending itself well to secondary and post-secondary essay courses. Outside of the realm of English studies, A Modest Proposal is a relevant piece included in many comparative and global literature and history courses, as well as those of numerous other disciplines in the arts, humanities, and even the social sciences.</p>",7,bookActive,,0,0.0,1997-10-01,Jonathan Swift,None,"Fiction, Literature & Novels",3month,"[4, 26, 27]","[4, 26, 27]","[4, 26, 27]","['Language and Literature', 'Political', 'Religious']"
75,Gulliver's Travels into Several Remote Nations of the World,0.0,300,20,18,media/epubs/47.epub,media/bookimages/47.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process and thank you for being an important part of keeping this knowledge alive and relevant.</span><br></p>",6,bookActive,,0,0.0,1997-02-01,Jonathan Swift,None,"Fiction, Literature & Novels",3month,"[16, 18, 62]","[16, 18, 62]","[16, 18, 62]","['Adventure stories', 'Fantasy fiction', 'Travelers']"
42,The Iliad,0.0,835,21,18,media/epubs/14.epub,media/bookimages/14.jpeg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;"">One of the foremost achievements in Western literature, Homer's Iliad tells the story of the darkest episode in the Trojan War. At its center are Achilles, the greatest warrior-champion of the Greeks, and his refusal to fight after being humiliated by his leader Agamemnon. But when the Trojan Hector kills Achilles' close friend Patroclus, he storms back into battle to take revenge – although knowing this will ensure his own early death. Interwoven with this tragic sequence of events are powerfully moving descriptions of the ebb and flow of battle, of the domestic world inside Troy's besieged city of Ilium and of the conflicts between the gods on Olympus as they argue over the fate of mortals.</span><br></p>",5,bookActive,,0,0.0,2007-07-01,Homer,None,"Fiction, Literature & Novels",3month,"[4, 28, 29]","[4, 28, 29]","[4, 28, 29]","['Language and Literature', 'Classical', 'Poetry']"
45,The Adventures of Tom Sawyer,0.0,272,24,18,media/epubs/17.epub,media/bookimages/17.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(51, 51, 51); font-family: &quot;Amazon Ember&quot;, Arial, sans-serif; font-size: small;"">The Adventures of Tom Sawyer, by Mark Twain, is a popular 1876 novel about a young boy growing up in the antebellum South on the Mississippi River in the fictional town of St. Petersburg, Missouri. Tom Sawyer, a mischievous orphan taken in by his Aunt Polly, goes through a series of adventures involving his friends, Joe Harper, and Huckleberry Finn. Tom is a mischevious mastermind and a professional trickster. He escapes punishment many times by his tricks and charms. Though he is often foolish and unpredictable, he also is somewhat smart and has a good sense of humor. When not trying to win his sweetheart, Becky Thatcher, Tom is either getting into mischief or going on an adventure. Many times, Tom suddenly changes from his grinning self into a fearsome pirate or anything else he can think of. His laugh changes into a bloodcurdling yell or a barking captain`s voice. Tom Sawyer`s main doings are racing bugs, impressing girls with fights and stunts in the schoolyard, getting lost in a cave, and playing pirates on the Mississippi River. The best-known passage in the book describes how Sawyer persuades his friends to whitewash or paint, along with the fence for him.</span><br></p>",7,bookActive,,0,0.0,2004-07-01,Mark Twain,None,"Fiction, Literature & Novels",3month,"[4, 16, 34, 35, 36]","[4, 16, 34, 35, 36]","[4, 16, 34, 35, 36]","['Language and Literature', 'Adventure stories', 'Fiction', 'Humorous stories', 'Male friendship']"
49,Adventures of Huckleberry Finn,0.0,328,24,18,media/epubs/21.epub,media/bookimages/21.jpeg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;"">Huck is back . . . Taken for a son by Widow Douglas; struggling against the society and its attempts to ‘sivilize’ him. Escaping his alcoholic father by faking his death, we join him as he voyages down the Mississippi River seeking liberation. Finding his way to Jackson’s island he meets Jim, Mrs. Watson’s runaway slave. What happens as they team up, capture a raft, and encounter a seemingly haphazard array of people and situations? Immersed in deadly violence, finding tranquility only on the river with Jim, will Huckleberry Finn find the freedom and independence he is seeking? A direct sequel to The Adventures of Tom Sawyer, it traces Huck’s moral development as he moves from having an unthinking acceptance of received knowledge and values to developing an independently achieved understanding of what is right. A scathing satire on entrenched attitudes, Twain’s The Adventures of Huckleberry Finn defines the American Dream of young heroes. Sometimes ironic, sometimes mocking, sometimes boyish and exuberant, it is named among the Great American Novels.</span><br></p>",6,bookActive,,0,0.0,2004-06-29,Mark Twain,None,"Fiction, Literature & Novels",3month,"[16, 35, 36]","[16, 35, 36]","[16, 35, 36]","['Adventure stories', 'Humorous stories', 'Male friendship']"
46,Metamorphosis,0.0,42,25,18,media/epubs/18.epub,media/bookimages/18.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(51, 51, 51); font-family: &quot;Amazon Ember&quot;, Arial, sans-serif; font-size: small;"">The Metamorphosis' is a short novel by Franz Kafka, first published in 1915. It is often cited as one of the seminal works of fiction of the 20th century and is widely studied in colleges and universities across the western world. The story begins with a traveling salesman, Gregor Samsa, waking to find himself transformed into an insect.""When Gregor Samsa woke up one morning from unsettling dreams, he found himself changed in his bed into a monstrous vermin."" With this startling, bizarre, yet surprisingly funny first sentence, Franz Kafka begins his masterpiece, 'The Metamorphosis'. It is the story of a young man who, transformed overnight into a giant beetlelike insect, becomes an object of disgrace to his family, an outsider in his own home, a quintessentially alienated man. A harrowing—though absurdly comic—meditation on human feelings of inadequacy, guilt, and isolation, 'The Metamorphosis' has taken its place as one of the most widely read and influential works of twentieth-century fiction.</span><br></p>",7,bookActive,,0,0.0,2005-08-17,Franz Kafka,None,"Fiction, Literature & Novels",3month,"[4, 15]","[4, 15]","[4, 15]","['Language and Literature', 'Psychological fiction']"
